chroma_stft,spec_contrast,tonnetz,spectral_bandwidth,zero_crossing_rate,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,id
0.5775957,15.676620459268714,0.008490190347613948,2415.1470947056664,0.4111024673375706,7696.96438029661,-275.31226,-40.275784,-57.184776,14.270616,-16.992964,28.80839,-13.490402,4.578117,-14.401668,17.297064,-2.2520783,21.021633,-11.874829,13.732229,-9.572624,12.432551,-3.2559762,15.644007,-17.079966,9.646928,-6.374065,9.640858,1.8181294,6.078273,-6.7190905,7.8552384,-7.4988647,8.6885,-3.337014,4.660633,-4.012436,1.3302797,-2.2511294,2.5358322,-2.3738487,2.9614646,-0.64878994,2.887298,-1.7920574,2.7964244,id19052025001018
0.5617752,15.861754991185514,0.0020593282340635997,2434.2320884165056,0.4420434984110169,7786.746888241525,-326.86414,-36.065735,-43.920776,14.6212845,-13.5633335,32.10196,-22.172998,10.169373,-9.931297,14.724301,-4.6151752,27.625624,-10.36958,14.944281,-4.322762,9.687552,-5.9537277,12.794397,-14.117313,9.560645,-5.4691706,15.929514,-0.7902301,4.40108,-3.8674996,5.965125,-5.9977393,6.5720077,-6.644225,7.127822,-3.9526153,7.99563,-1.3237246,3.0851038,-3.90024,3.0802605,-1.9909213,3.445653,-3.1301684,3.8895967,id19052025001023
0.5623795,15.926679677832373,0.0010551638614401588,2428.7707420489373,0.44590657552083335,7791.669921875,-328.00336,-37.762886,-44.762325,14.133673,-13.408496,32.684868,-22.478664,11.668913,-8.704525,14.00149,-4.8510113,28.071394,-11.091411,14.440654,-3.753361,9.689402,-6.4039607,12.667461,-13.937451,9.490762,-5.6452265,15.579411,-1.5711645,3.774503,-4.413194,5.8636394,-5.0230346,7.619031,-6.723463,7.05914,-3.8232753,8.093208,-2.7834141,3.046694,-3.7037146,4.2332764,-1.1234895,4.025633,-2.9378748,4.1816792,id19052025001025
0.5687256,15.508043614949194,0.006967146501411316,2424.9116301799504,0.41437273394337015,7746.956470131216,-271.9772,-41.235023,-56.040714,15.398018,-14.61211,29.338346,-12.441026,6.1193733,-13.834195,17.49776,-1.648673,20.124557,-12.545367,13.960339,-7.6904335,12.65013,-4.0475216,16.098875,-17.204584,9.86929,-6.183037,9.159863,1.927395,4.8303995,-7.0487595,8.120694,-5.6901155,9.154417,-2.909462,5.560428,-3.820261,1.0105281,-1.9899706,3.6642067,-0.9827614,2.4433851,-0.9485059,2.7386806,-1.8847474,2.252565,id19052025001030
0.5698338,15.578970197892112,0.007151021820446448,2404.413869388845,0.4208058324353448,7744.2803744612065,-276.74017,-43.82198,-56.61506,16.355803,-15.056941,29.256805,-13.027108,5.6162434,-14.051326,16.768717,-1.4230905,21.527271,-11.782706,13.445242,-7.413242,14.147366,-3.418719,17.318977,-16.763536,9.542882,-6.7247286,8.577951,2.0039358,5.825447,-6.4425774,7.832947,-5.392846,9.503461,-3.6255026,6.106935,-3.6996775,3.086256,-1.7583094,2.3097355,-1.3741474,2.9584596,-0.84092706,1.8850186,-2.3700128,1.6966795,id19052025001032
0.5620668,15.749766379341919,0.0011147932068777764,2397.490064202029,0.41849631824712646,7690.323612607759,-277.29257,-43.556156,-57.916836,16.254522,-15.043377,29.44932,-13.361432,6.0584064,-13.101631,18.199732,-0.48857915,21.763712,-11.241796,13.534132,-7.681301,13.329034,-3.7568064,17.185974,-16.951225,10.211886,-4.999888,10.054288,2.7642207,6.1557364,-6.7966647,7.884757,-6.7093015,8.8576145,-3.5663126,6.186184,-4.3226686,1.8401158,-2.0440278,2.900966,-1.2195542,2.4304192,-1.0572369,2.436724,-2.1988418,2.3186505,id19052025001033
0.57179695,15.580141968457207,0.011025168802036064,2409.337160937071,0.41736474891618497,7734.278472723989,-276.09583,-43.333435,-57.586998,15.09328,-15.4792185,29.314793,-13.434303,5.615629,-14.105722,17.392012,-2.6609135,20.252172,-12.049435,13.544242,-8.246038,13.890467,-3.6483035,16.666803,-17.025148,9.9170475,-6.593117,9.395877,2.689483,6.3568206,-6.3580246,7.8559484,-6.960952,8.621067,-4.0140457,5.6120415,-4.4809213,2.5174522,-1.3128124,3.1350663,-1.0475242,2.97805,-0.31018546,2.7749286,-2.0333803,2.2696767,id19052025001036
0.562979,15.980982278548547,-0.0004901508845785198,2428.32616859813,0.4473541438230994,7778.145559210527,-325.9576,-36.55842,-43.219116,16.288437,-12.644517,32.50481,-22.432774,11.586351,-10.894634,12.602484,-7.070956,27.24016,-11.244806,13.691849,-4.1479526,9.805791,-6.162018,13.123221,-13.854016,9.182231,-5.2691565,16.998983,0.3147094,4.078754,-4.859889,7.5599203,-5.1803927,6.6495113,-7.416458,6.7033234,-4.555356,8.238875,-2.5525687,2.646724,-4.0776796,3.151284,-1.1764513,4.162562,-3.1040304,4.9437013,id19052025001039
0.5611559,15.841721027209523,0.0012987784054025273,2428.770011893084,0.4471245032514451,7809.45797958815,-325.56522,-36.623627,-43.445633,15.40217,-13.328918,32.3502,-22.481113,12.854548,-8.896375,14.191227,-4.525961,28.465302,-10.954316,14.717082,-3.8015885,10.050881,-6.8323727,13.564799,-14.148196,9.709747,-5.5214863,15.1857815,-2.0186656,3.4866018,-4.5984354,7.514719,-4.619741,6.8482647,-6.9777584,6.336052,-5.1089673,8.20123,-2.8768132,2.5355535,-3.7198782,3.1331074,-1.5413249,3.4180484,-3.6975,4.6386223,id19052025001040
0.5575041,15.791497035912851,0.0030013877619192095,2426.443219216507,0.44537353515625,7774.709805575284,-326.48367,-35.793007,-43.360416,16.062763,-13.801724,32.02075,-21.83727,12.52631,-9.288678,13.439797,-5.294603,28.549788,-10.547079,14.140349,-4.438953,11.108034,-5.8511243,13.483508,-13.632226,9.945178,-4.864513,16.098553,-1.9956492,3.5479078,-4.960297,6.6622014,-4.891646,7.830366,-6.3609967,6.800833,-4.9072905,6.9705563,-2.51224,2.8484182,-3.4661226,3.1654038,-1.6837548,3.9177134,-2.8369577,4.5816607,id19052025001041
