chroma_stft,spec_contrast,tonnetz,spectral_bandwidth,zero_crossing_rate,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,filename
0.6281838,18.694766607202133,0.007151021820446448,2403.7566899227736,0.4208058324353448,7743.4759731950435,-128.17943,-37.91343,-56.753834,15.589748,-16.197088,28.603226,-13.700255,5.5614424,-14.15813,17.147394,-1.8693445,20.89786,-12.722029,13.206617,-7.1511707,14.032732,-4.1174364,16.768532,-17.40701,9.830544,-5.9180665,9.302186,2.828582,6.626944,-5.817759,8.890142,-4.911818,10.509063,-2.6797602,6.7032037,-3.4726725,3.1785553,-1.0184628,4.127008,-0.24736115,3.3042526,-0.26426092,3.3167636,-0.693808,3.4196188,e19052025001032
0.6333429,18.596682604583368,0.0011147932068777764,2400.3441162708623,0.41849631824712646,7723.984711745689,-128.64957,-38.260586,-58.359474,15.057929,-16.314651,28.601086,-13.610376,5.6326485,-13.632644,17.491655,-1.955575,20.943766,-12.054122,13.61023,-7.5004377,13.738725,-3.7485776,16.820335,-17.448038,9.821585,-5.1978593,10.451064,2.8989942,6.0632186,-5.909926,8.871043,-5.727642,10.011549,-2.2844286,7.3838043,-3.0997922,2.8241937,-0.78672713,4.141992,-0.2684342,3.7819529,0.24910201,3.795824,-0.70260614,3.8368545,e19052025001033
0.6265554,18.751483702865713,0.011025168802036064,2406.6461461131257,0.41736474891618497,7744.049319228685,-128.0353,-37.66483,-57.5859,14.822802,-16.448776,28.619558,-13.83219,5.8654375,-13.819942,17.400557,-2.7720346,19.887684,-12.689199,13.980878,-7.437772,13.764493,-3.964244,16.450348,-17.380667,10.407997,-5.655269,10.155616,3.095009,6.324096,-6.235878,8.451283,-5.9842825,9.887689,-2.4114165,6.6905837,-3.7400594,2.701759,-1.1203011,4.4823194,0.33462757,3.9147089,0.13670202,3.7107668,-1.0444338,3.3434553,e19052025001036
0.6314187,19.289258719999378,-0.0004901508845785198,2422.29945482437,0.4473541438230994,7801.9454152960525,-178.30035,-32.058193,-44.228416,15.492176,-13.670157,31.903378,-22.902346,11.173456,-10.958199,12.778329,-7.1542125,27.216722,-10.978847,14.710217,-3.1504064,10.400628,-6.5435185,12.789086,-14.258404,9.83158,-3.8775773,17.88005,0.4655954,4.711786,-4.0050364,7.950934,-5.026725,6.54323,-6.9201303,7.61094,-3.068187,9.538305,-1.7092961,3.4690719,-2.738997,4.6313925,-0.43492672,4.668776,-1.8797113,7.0355744,e19052025001039
0.6257235,19.246615850588398,0.0012987784054025273,2423.4074197604996,0.4471245032514451,7804.728143063584,-177.54045,-31.080076,-43.936726,14.420279,-14.771714,31.703573,-23.307077,12.288636,-9.644847,13.825602,-5.3587766,28.118639,-10.929942,14.569833,-3.6961367,10.352347,-6.769799,13.420439,-13.834987,10.494455,-4.5097466,16.39417,-1.305501,3.7724898,-4.336339,7.7129087,-5.003792,6.743929,-6.6461177,7.7728815,-3.001879,9.652605,-1.906752,3.6922204,-2.9755147,3.9445117,-0.35880074,4.403885,-2.3665493,6.6686187,e19052025001040
0.61639,19.27580424356437,0.0030013877619192095,2421.2050323688277,0.44537353515625,7793.061967329545,-178.90399,-31.254963,-44.07349,15.231663,-14.458816,31.442724,-22.94045,11.693232,-10.161829,12.897855,-5.806684,28.385942,-10.452411,14.562827,-3.7851715,10.496484,-6.900668,12.684231,-14.318298,10.160913,-3.9868972,16.992413,-1.2199947,4.454012,-3.8936477,7.351235,-4.7122345,7.434155,-6.1061373,7.839758,-3.3208456,8.627691,-1.265244,3.889723,-2.606181,4.248889,-0.49802205,5.1607842,-1.1468993,6.8671336,e19052025001041
0.62577194,19.14398158142586,0.0006222492223222078,2418.3608317619382,0.44488034303160917,7797.185226966595,-179.02397,-31.890316,-43.939137,15.249395,-14.430453,31.815092,-22.40273,11.969875,-9.683826,13.923899,-5.536756,28.028696,-10.988694,14.581319,-3.021791,10.112222,-6.5799727,13.025733,-14.245421,10.2186775,-4.7865477,16.797802,-0.5996642,4.556239,-3.6586049,7.757228,-5.30938,6.8368945,-6.9795117,7.0965443,-3.0006406,10.048941,-0.89812577,3.417289,-3.1180718,3.2576666,-1.1216621,4.842067,-1.1384679,6.1433935,e19052025001042
0.6273004,19.213941971334876,0.004620939501108383,2420.9348470230225,0.4456398703835227,7811.842346191406,-179.30534,-32.19834,-44.342102,14.784219,-14.638315,31.037176,-23.700233,11.276809,-10.120278,13.497399,-6.1096177,27.337065,-11.396163,15.080703,-3.4514163,10.187906,-6.624068,12.673444,-15.023454,10.444124,-4.3830066,17.369131,-0.38109338,5.2619596,-3.617694,7.733128,-4.8953166,7.6862016,-5.92403,8.042983,-2.8741958,9.879243,-1.2425567,3.7471175,-2.4912474,4.0595775,-0.8504956,5.4344716,-1.1230644,6.6584086,e19052025001043
0.62032616,19.42263892175484,0.00409016829439269,2425.9605769303134,0.4510719992897727,7836.18954745206,-177.21156,-31.42668,-43.454533,14.066848,-15.38139,31.17589,-23.133192,11.891926,-10.286531,13.1124935,-6.7735195,27.451723,-10.981337,14.929266,-4.6648526,9.751701,-6.2368116,12.570374,-14.6407,9.985808,-4.894032,17.183304,-0.5955716,5.0456433,-3.2483368,7.756421,-5.6938753,6.9773297,-5.7085466,8.193928,-2.831765,9.263676,-0.95372486,3.6597228,-2.5921881,3.7531044,-1.6522439,4.4330883,-1.0300878,7.515512,e19052025001044
0.6228499,19.24332026166284,0.00010586876152889442,2432.387343206918,0.4459153500349162,7792.794032603003,-176.15051,-30.015408,-44.159546,14.620707,-14.876428,30.065607,-23.387701,11.43219,-9.812894,13.85012,-6.3572774,27.507294,-11.63442,13.538888,-4.120558,9.632696,-6.975437,12.744686,-13.947199,10.409602,-4.0861115,17.396511,-1.141272,5.3907404,-3.400778,7.829759,-5.237272,6.8730755,-6.1295433,7.253424,-2.8477478,9.397212,-1.6380057,3.2991753,-3.0081568,3.8726797,-1.0574453,5.3304086,-0.80506104,6.2960076,e19052025001045
0.62441796,19.1546060252548,0.0046405652856948585,2425.5052657799047,0.4456262002444134,7809.094306476955,-179.74985,-32.2134,-44.465107,14.745723,-14.186041,31.747002,-22.581589,11.605485,-10.381072,13.001413,-6.1970563,28.248606,-10.439544,14.722685,-3.5059972,10.005681,-6.6449075,12.948418,-14.843389,9.272506,-4.5835514,17.711977,-0.47355592,4.737439,-3.9849505,7.7988377,-5.0001082,7.9182878,-5.5122924,7.914269,-2.7326508,10.017345,-0.900337,4.1283865,-2.8838136,4.132591,-1.1914673,4.7799478,-1.6011325,6.267708,e19052025001046
0.63161474,19.206975542993188,0.00114836769470356,2429.4569536201643,0.44662458537011174,7822.327001134777,-179.37184,-31.62044,-44.238117,14.331993,-14.576425,31.872671,-22.66835,11.95974,-9.6015625,13.751478,-5.6859865,28.407701,-10.8462,15.16047,-3.4759054,10.560801,-6.483368,12.65526,-14.520254,10.413274,-4.3054085,16.490105,-1.4670032,4.0112033,-4.1642475,7.8797193,-5.479196,6.7867665,-6.849644,7.914139,-2.4354482,10.033692,-1.4633428,4.179144,-2.3311703,4.4967904,-0.82886577,4.5958967,-1.5313898,7.0297456,e19052025001047
0.6302636,19.210728694696243,0.003845403683428918,2429.6730385390774,0.44466688368055557,7809.554443359375,-178.82793,-31.92029,-45.04003,13.784012,-14.567114,31.656326,-22.231562,12.347165,-9.343728,13.244246,-6.2349358,28.188732,-10.187225,15.288178,-3.5263617,10.242684,-6.368357,12.596886,-14.488371,10.034695,-4.6515665,17.485983,-0.08788236,5.471962,-3.683404,8.226562,-5.1560335,7.336892,-6.2888875,7.4657497,-2.9148376,9.929977,-1.166233,3.8566346,-2.9771924,3.7519603,-1.2614778,4.408846,-1.5992849,6.4549413,e19052025001048
0.6225566,19.353105061645113,0.003784516698095491,2431.9981969493965,0.4453667534722222,7812.60498046875,-177.4043,-31.195095,-44.710587,14.577647,-14.227684,31.038778,-22.462193,12.057489,-9.668487,13.667908,-6.123463,27.38498,-11.254209,14.69255,-3.541581,10.322655,-6.546534,12.429468,-14.483851,9.460204,-4.9023924,17.729107,0.030824704,4.8095164,-3.593747,8.126143,-5.3958864,6.517634,-6.6377096,8.008011,-3.0214267,9.843429,-1.1470112,3.871386,-2.7502773,4.1599617,-0.49800846,5.310908,-1.2796352,7.2553973,e19052025001049
0.6337047,19.11347910882737,0.004258864986692321,2437.624089138942,0.4438121944832402,7813.545303770949,-178.52348,-30.522266,-44.73185,14.195206,-14.886074,30.38653,-22.55131,12.123894,-9.487519,13.381837,-6.4809394,27.636065,-10.32215,15.530219,-3.6974113,10.246406,-7.1741657,12.531199,-13.352026,10.632924,-4.522841,16.695541,-1.5284317,3.8296652,-4.628163,8.367251,-4.724565,7.435903,-6.0859466,8.110266,-2.661663,9.580627,-1.6324178,4.2339096,-2.8129096,3.9733212,-0.7366157,4.6775107,-1.2572601,6.6004763,e19052025001050
0.630021,19.134334050209755,0.0031844755194420037,2429.894554492431,0.4442545572916667,7803.333740234375,-178.86008,-31.781511,-45.39629,14.206375,-14.390609,31.221802,-22.329401,11.697617,-9.897599,14.127297,-5.72474,27.512886,-10.980759,14.88552,-3.1432605,10.346708,-6.9672294,12.964495,-13.671357,9.783997,-4.5526257,16.968523,-1.1783155,4.8702364,-3.9891543,8.188629,-4.786436,7.9883466,-5.7537327,7.956764,-2.777729,9.541644,-1.7459881,3.9699786,-2.478863,4.0410714,-0.9761129,4.5510917,-1.9887719,6.237507,e19052025001051
